a,b,c,d
0,0,800,800
30,0,393,388
60,0,414,393
90,0,414,417
120,0,417,393
150,0,414,393
180,0,393,396
210,0,393,393
240,0,393,388
270,0,393,393
300,0,393,393
330,0,393,414
360,0,393,414
390,0,393,417
420,0,396,393
450,0,393,388
480,0,393,414
510,0,414,396
540,0,414,388
570,0,414,393
600,0,393,396
630,0,393,393
660,0,393,410
690,0,396,414
720,0,393,393
750,0,393,393
780,0,414,393
810,0,393,393
840,0,393,393
870,0,407,396
900,0,414,414
930,0,393,396
960,0,414,414
990,0,414,393
1020,0,393,393
1050,0,393,393
1080,0,393,414
1110,0,414,414
1140,0,396,393
1170,0,414,414
1200,0,396,407
1230,0,393,393
1260,0,393,393
1290,0,393,414
1320,0,393,393
1350,0,393,393
1380,0,414,396
1410,0,410,393
1440,0,393,393
1470,0,396,393
1500,0,393,414
1530,0,388,414
1560,0,396,414
1590,0,414,393
1620,0,388,393
1650,0,393,396
1680,0,393,393
1710,0,417,393
1740,0,414,393
1770,0,414,393
1800,0,393,393
1830,0,393,393
1860,0,388,393
1890,0,393,393
1920,0,396,414
1950,0,393,417
1980,0,393,414
2010,0,417,414
2040,0,393,393
2070,0,388,395
2100,0,393,393
2130,0,393,396
2160,0,393,393
2190,0,393,393
2220,0,414,393
2250,0,393,396
2280,0,393,388
2310,0,399,393
2340,0,414,393
2370,0,414,407
2400,0,396,414
2430,0,396,417
2460,0,393,414
2490,0,393,396
2520,0,396,393
2550,0,414,393
2580,0,417,396
2610,0,414,396
2640,0,407,414
2670,0,393,414
2700,0,393,399
2730,0,388,393
2760,0,396,393
2790,0,393,414
2820,0,393,393
2850,0,393,393
2880,0,396,393
2910,0,393,393
2940,0,393,388
2970,0,393,393
3000,0,414,417
3030,0,414,393
3060,0,417,393
3090,0,414,396
3120,0,393,393
3150,0,393,388
3180,0,393,393
3210,0,393,393
3240,0,393,414
3270,0,393,414
3300,0,393,417
3330,0,393,393
3360,0,396,393
3390,0,393,388
3420,0,393,414
3450,0,414,396
3480,0,414,388
3510,0,414,393
3540,0,393,396
3570,0,393,393
3600,0,393,410
3630,0,396,414
3660,0,393,393
3690,0,393,393
3720,0,414,393
3750,0,393,393
3780,0,393,393
3810,0,407,396
3840,0,414,414
3870,0,393,396
3900,0,414,414
3930,0,414,393
3960,0,393,393
3990,0,393,393
4020,0,393,414
4050,0,414,414
4080,0,396,393
4110,0,414,414
4140,0,396,407
4170,0,393,393
4200,0,393,393
4230,0,393,414
4260,0,393,393
4290,0,393,393
4320,0,414,396
4350,0,410,393
4380,0,393,393
4410,0,396,393
4440,0,393,414
4470,0,388,414
4500,0,396,414
4530,0,414,393
4560,0,388,393
4590,0,393,396
4620,0,393,393
4650,0,417,393
4680,0,414,393
4710,0,414,393
4740,0,393,393
4770,0,393,393
4800,0,388,393
4830,0,393,393
4860,0,396,414
4890,0,393,417
4920,0,393,414
4950,0,417,414
4980,0,393,393
5010,0,388,392
